wl,Si,Sugar,PS
1274,0.667654845,0.917853482,0.97943
1275,0.667544843,0.917869217,0.979437
1276,0.667472173,0.917827988,0.979473
1277,0.667470007,0.917774423,0.979497
1278,0.667507055,0.9175788,0.979396
1279,0.667563608,0.917629446,0.979494
1280,0.66767633,0.917779653,0.979722
1281,0.66782377,0.917949236,0.979967
1282,0.667928698,0.918231179,0.980114
1283,0.667956719,0.918492289,0.980306
1284,0.667986879,0.918613552,0.980306
1285,0.668035433,0.918664948,0.980153
1286,0.668071335,0.918706601,0.980069
1287,0.668046695,0.91872407,0.98013
1288,0.66802342,0.918755758,0.980215
1289,0.66799067,0.918744694,0.980134
1290,0.668022368,0.918684996,0.98001
1291,0.668090786,0.918745429,0.979856
1292,0.668150448,0.918701961,0.979633
1293,0.668263989,0.918499032,0.97953
1294,0.668257572,0.918492076,0.979482
1295,0.668237398,0.918488075,0.979315
1296,0.668321158,0.918398746,0.979184
1297,0.668374193,0.918482191,0.979064
1298,0.668479412,0.918540161,0.978984
1299,0.668535953,0.918564409,0.979046
1300,0.668541885,0.918499537,0.979029
1301,0.668465464,0.918343063,0.97901
1302,0.668452994,0.918276101,0.979034
1303,0.668403824,0.918119241,0.97902
1304,0.668412481,0.918062758,0.97903
1305,0.668504059,0.918116182,0.979098
1306,0.668520654,0.918245556,0.979206
1307,0.668442388,0.918341677,0.979246
1308,0.668495085,0.918370267,0.979248
1309,0.668564247,0.918393841,0.979271
1310,0.668607018,0.91857953,0.979325
1311,0.668731245,0.918489872,0.979309
1312,0.668693048,0.918283696,0.979281
1313,0.668581451,0.918295032,0.979341
1314,0.66850999,0.918186209,0.979379
1315,0.668526043,0.918215601,0.97918
1316,0.668608453,0.918339141,0.978952
1317,0.668647126,0.91813225,0.978856
1318,0.66875075,0.917967676,0.978521
1319,0.668819499,0.917793884,0.978359
1320,0.66882612,0.917603466,0.978298
1321,0.668959262,0.917415598,0.977777
1322,0.669057649,0.917064711,0.977504
1323,0.668977213,0.916865003,0.977474
1324,0.669006354,0.916642507,0.977212
1325,0.66908303,0.916290238,0.97708
1326,0.669155742,0.915814426,0.977253
1327,0.669215531,0.915520815,0.97713
1328,0.669441346,0.915081674,0.976765
1329,0.669482734,0.914853366,0.976569
1330,0.669357034,0.915079842,0.976389
1331,0.669292246,0.914951546,0.976134
1332,0.669119984,0.914726708,0.975891
1333,0.669048715,0.914529158,0.975652
1334,0.669027693,0.91415619,0.975418
1335,0.669014671,0.913910501,0.975067
1336,0.669041332,0.913842584,0.974727
1337,0.669207791,0.913228885,0.974382
1338,0.669515948,0.912433946,0.973886
1339,0.669726566,0.912062844,0.973343
1340,0.669941822,0.911590945,0.972831
1341,0.67035621,0.911224493,0.972441
1342,0.670772261,0.911290045,0.971751
1343,0.671262026,0.910623178,0.971042
1344,0.671448092,0.909066784,0.970563
1345,0.671769278,0.907593275,0.969535
1346,0.671980416,0.906310315,0.96875
1347,0.671545387,0.904741528,0.968116
1348,0.672365849,0.904216698,0.96711
1349,0.673290815,0.905058866,0.96655
1350,0.673414023,0.905346517,0.965924
1351,0.675091728,0.905953614,0.965374
1352,0.677122126,0.905998734,0.964268
1353,0.6794214,0.904080291,0.961583
1354,0.683809201,0.90298629,0.959369
1355,0.69276646,0.89983175,0.959525
1356,0.70389877,0.892741022,0.957644
1357,0.709575372,0.893047942,0.956536
1358,0.730377948,0.88739753,0.952873
1359,0.735226972,0.857224682,0.941906
1360,0.799242043,0.842684013,0.936708
1361,0.933046273,0.956195978,0.968795
1362,1.342543154,1.009803096,1.013085
1363,1.893582777,0.945869088,1.138332
1364,3.115819504,0.923944629,1.163895
1365,2.165273277,0.794738737,0.992743
1366,1.918136289,0.707247058,0.867066
1367,1.286597091,0.642380727,0.774084
1368,1.103724512,0.680351559,0.78395
1369,1.396968774,0.743968811,0.851101
1370,1.480773057,0.735263457,0.895576
1371,2.61253849,0.742909842,0.939147
1372,3.928928968,0.840430793,0.934586
1373,3.300790867,0.997151746,0.947169
1374,2.35479129,0.98087596,0.964388
1375,2.731896132,1.205047767,0.945126
1376,2.222059492,1.360408566,0.941975
1377,1.192496091,0.972730457,0.93867
1378,1.10119915,0.601176317,0.942755
1379,0.700049657,0.506777908,0.959302
1380,0.649094334,0.478479536,0.970231
